,Region,State,Lat,Long,Date,Confirmed,Deaths,Recovered,still infected
0,Afghanistan,NA,33.0,65.0,2020-01-22,0,0,0,0
1,Afghanistan,NA,33.0,65.0,2020-01-23,0,0,0,0
2,Afghanistan,NA,33.0,65.0,2020-01-24,0,0,0,0
3,Afghanistan,NA,33.0,65.0,2020-01-25,0,0,0,0
4,Afghanistan,NA,33.0,65.0,2020-01-26,0,0,0,0
5,Afghanistan,NA,33.0,65.0,2020-01-27,0,0,0,0
6,Afghanistan,NA,33.0,65.0,2020-01-28,0,0,0,0
7,Afghanistan,NA,33.0,65.0,2020-01-29,0,0,0,0
8,Afghanistan,NA,33.0,65.0,2020-01-30,0,0,0,0
9,Afghanistan,NA,33.0,65.0,2020-01-31,0,0,0,0
10,Afghanistan,NA,33.0,65.0,2020-02-01,0,0,0,0
11,Afghanistan,NA,33.0,65.0,2020-02-02,0,0,0,0
12,Afghanistan,NA,33.0,65.0,2020-02-03,0,0,0,0
13,Afghanistan,NA,33.0,65.0,2020-02-04,0,0,0,0
14,Afghanistan,NA,33.0,65.0,2020-02-05,0,0,0,0
15,Afghanistan,NA,33.0,65.0,2020-02-06,0,0,0,0
16,Afghanistan,NA,33.0,65.0,2020-02-07,0,0,0,0
17,Afghanistan,NA,33.0,65.0,2020-02-08,0,0,0,0
18,Afghanistan,NA,33.0,65.0,2020-02-09,0,0,0,0
19,Afghanistan,NA,33.0,65.0,2020-02-10,0,0,0,0
20,Afghanistan,NA,33.0,65.0,2020-02-11,0,0,0,0
21,Afghanistan,NA,33.0,65.0,2020-02-12,0,0,0,0
22,Afghanistan,NA,33.0,65.0,2020-02-13,0,0,0,0
23,Afghanistan,NA,33.0,65.0,2020-02-14,0,0,0,0
24,Afghanistan,NA,33.0,65.0,2020-02-15,0,0,0,0
25,Afghanistan,NA,33.0,65.0,2020-02-16,0,0,0,0
26,Afghanistan,NA,33.0,65.0,2020-02-17,0,0,0,0
27,Afghanistan,NA,33.0,65.0,2020-02-18,0,0,0,0
28,Afghanistan,NA,33.0,65.0,2020-02-19,0,0,0,0
29,Afghanistan,NA,33.0,65.0,2020-02-20,0,0,0,0
30,Afghanistan,NA,33.0,65.0,2020-02-21,0,0,0,0
31,Afghanistan,NA,33.0,65.0,2020-02-22,0,0,0,0
32,Afghanistan,NA,33.0,65.0,2020-02-23,0,0,0,0
33,Afghanistan,NA,33.0,65.0,2020-02-24,1,0,0,1
34,Afghanistan,NA,33.0,65.0,2020-02-25,1,0,0,1
35,Afghanistan,NA,33.0,65.0,2020-02-26,1,0,0,1
36,Afghanistan,NA,33.0,65.0,2020-02-27,1,0,0,1
37,Afghanistan,NA,33.0,65.0,2020-02-28,1,0,0,1
38,Afghanistan,NA,33.0,65.0,2020-02-29,1,0,0,1
39,Afghanistan,NA,33.0,65.0,2020-03-01,1,0,0,1
40,Afghanistan,NA,33.0,65.0,2020-03-02,1,0,0,1
41,Afghanistan,NA,33.0,65.0,2020-03-03,1,0,0,1
42,Afghanistan,NA,33.0,65.0,2020-03-04,1,0,0,1
43,Afghanistan,NA,33.0,65.0,2020-03-05,1,0,0,1
44,Afghanistan,NA,33.0,65.0,2020-03-06,1,0,0,1
45,Afghanistan,NA,33.0,65.0,2020-03-07,1,0,0,1
46,Afghanistan,NA,33.0,65.0,2020-03-08,4,0,0,4
47,Algeria,NA,28.0339,1.6596,2020-01-22,0,0,0,0
48,Algeria,NA,28.0339,1.6596,2020-01-23,0,0,0,0
49,Algeria,NA,28.0339,1.6596,2020-01-24,0,0,0,0
50,Algeria,NA,28.0339,1.6596,2020-01-25,0,0,0,0
51,Algeria,NA,28.0339,1.6596,2020-01-26,0,0,0,0
52,Algeria,NA,28.0339,1.6596,2020-01-27,0,0,0,0
53,Algeria,NA,28.0339,1.6596,2020-01-28,0,0,0,0
54,Algeria,NA,28.0339,1.6596,2020-01-29,0,0,0,0
55,Algeria,NA,28.0339,1.6596,2020-01-30,0,0,0,0
56,Algeria,NA,28.0339,1.6596,2020-01-31,0,0,0,0
57,Algeria,NA,28.0339,1.6596,2020-02-01,0,0,0,0
58,Algeria,NA,28.0339,1.6596,2020-02-02,0,0,0,0
59,Algeria,NA,28.0339,1.6596,2020-02-03,0,0,0,0
60,Algeria,NA,28.0339,1.6596,2020-02-04,0,0,0,0
61,Algeria,NA,28.0339,1.6596,2020-02-05,0,0,0,0
62,Algeria,NA,28.0339,1.6596,2020-02-06,0,0,0,0
63,Algeria,NA,28.0339,1.6596,2020-02-07,0,0,0,0
64,Algeria,NA,28.0339,1.6596,2020-02-08,0,0,0,0
65,Algeria,NA,28.0339,1.6596,2020-02-09,0,0,0,0
66,Algeria,NA,28.0339,1.6596,2020-02-10,0,0,0,0
67,Algeria,NA,28.0339,1.6596,2020-02-11,0,0,0,0
68,Algeria,NA,28.0339,1.6596,2020-02-12,0,0,0,0
69,Algeria,NA,28.0339,1.6596,2020-02-13,0,0,0,0
70,Algeria,NA,28.0339,1.6596,2020-02-14,0,0,0,0
71,Algeria,NA,28.0339,1.6596,2020-02-15,0,0,0,0
72,Algeria,NA,28.0339,1.6596,2020-02-16,0,0,0,0
73,Algeria,NA,28.0339,1.6596,2020-02-17,0,0,0,0
74,Algeria,NA,28.0339,1.6596,2020-02-18,0,0,0,0
75,Algeria,NA,28.0339,1.6596,2020-02-19,0,0,0,0
76,Algeria,NA,28.0339,1.6596,2020-02-20,0,0,0,0
77,Algeria,NA,28.0339,1.6596,2020-02-21,0,0,0,0
78,Algeria,NA,28.0339,1.6596,2020-02-22,0,0,0,0
79,Algeria,NA,28.0339,1.6596,2020-02-23,0,0,0,0
80,Algeria,NA,28.0339,1.6596,2020-02-24,0,0,0,0
81,Algeria,NA,28.0339,1.6596,2020-02-25,1,0,0,1
82,Algeria,NA,28.0339,1.6596,2020-02-26,1,0,0,1
83,Algeria,NA,28.0339,1.6596,2020-02-27,1,0,0,1
84,Algeria,NA,28.0339,1.6596,2020-02-28,1,0,0,1
85,Algeria,NA,28.0339,1.6596,2020-02-29,1,0,0,1
86,Algeria,NA,28.0339,1.6596,2020-03-01,1,0,0,1
87,Algeria,NA,28.0339,1.6596,2020-03-02,3,0,0,3
88,Algeria,NA,28.0339,1.6596,2020-03-03,5,0,0,5
89,Algeria,NA,28.0339,1.6596,2020-03-04,12,0,0,12
90,Algeria,NA,28.0339,1.6596,2020-03-05,12,0,0,12
91,Algeria,NA,28.0339,1.6596,2020-03-06,17,0,0,17
92,Algeria,NA,28.0339,1.6596,2020-03-07,17,0,0,17
